date,bank,bse50,chinext50,cni2000,csi100,csi1000,csi2000,csi300,csi500,csi800,csi_a50,csi_a500,csi_all,dividend,growth,lowvol,sme100,sse180,sse50,ssecomp,star100,star50,sz100,szcomponent,value300
2020-02-05,9247.03,,0.725,,5334.05,5756.76,,4885.66,5776.59,5065.95,,,5174.1,6314.32,2.143,11645.26,3.456,11283.29,3990.24,1.246,,,4.928,0.836,6818.95
2020-02-06,9309.91,,0.749,,5413.67,5936.83,,4976.58,5955.77,5175.62,,,5299.61,6393.5,2.211,11754.27,3.55,11462.62,4049.8,1.266,,,5.031,0.86,6894.36
2020-02-07,9271.03,,0.748,,5395.0,6009.98,,4976.7,6005.53,5186.41,,,5324.45,6415.26,2.222,11682.74,3.547,11489.97,4045.3,1.272,,,5.019,0.86,6881.28
2020-02-10,9231.72,,0.759,,5409.08,6093.9,,4997.29,6074.75,5217.41,,,5369.76,6512.84,2.247,11856.38,3.574,11513.18,4042.96,1.283,,,5.059,0.868,6908.36
2020-02-11,9327.79,,0.753,,5475.72,6052.67,,5043.81,6044.13,5247.25,,,5379.38,6535.13,2.231,11918.38,3.595,11596.12,4085.22,1.283,,,5.118,0.874,6970.19
2020-02-12,9344.86,,0.778,,5498.66,6193.67,,5084.61,6155.37,5303.09,,,5451.57,6576.75,2.298,11953.08,3.659,11691.46,4107.54,1.295,,,5.164,0.888,6985.75
2020-02-13,9269.44,,0.77,,5456.8,6143.38,,5053.33,6102.27,5267.19,,,5410.41,6536.5,2.277,11900.59,3.633,11615.22,4079.01,1.291,,,5.134,0.878,6958.23
2020-02-14,9352.11,,0.769,,5494.65,6165.22,,5088.82,6111.24,5296.9,,,5434.12,6585.93,2.276,11992.79,3.654,11693.85,4106.8,1.298,,,5.168,0.884,7017.33
2020-02-17,9518.61,,0.801,,5602.95,6389.81,,5203.28,6306.99,5428.57,,,5585.72,6722.54,2.373,12208.46,3.765,11942.47,4184.82,1.326,,,5.298,0.91,7137.4
2020-02-18,9422.69,,0.807,,5552.83,6535.89,,5177.87,6381.82,5424.76,,,5619.19,6736.45,2.394,12123.03,3.763,11877.02,4148.41,1.328,,,5.276,0.916,7071.24
2020-02-19,9420.47,,0.789,,5562.54,6477.61,,5169.95,6316.94,5404.62,,,5591.81,6709.57,2.353,12101.35,3.741,11856.64,4147.51,1.328,,,5.267,0.911,7066.85
2020-02-20,9539.72,,0.813,,5686.14,6602.83,,5289.07,6433.57,5522.93,,,5710.83,6804.6,2.412,12249.52,3.838,12104.34,4224.7,1.35,,,5.442,0.936,7184.79
2020-02-21,9508.6,,0.828,,5667.63,6720.69,,5295.24,6520.73,5546.5,,,5753.46,6830.4,2.457,12259.03,3.889,12090.84,4210.45,1.354,,,5.471,0.942,7155.69
2020-02-24,9396.71,,0.842,,5612.11,6868.09,,5273.99,6612.54,5549.6,,,5788.34,6782.86,2.495,12118.23,3.934,11976.31,4156.4,1.351,,,5.493,0.953,7072.4
2020-02-25,9303.71,,0.854,,5580.02,6896.86,,5262.53,6648.9,5548.44,,,5793.01,6715.21,2.515,11984.1,3.974,11901.85,4127.02,1.341,,,5.531,0.956,7011.13
2020-02-26,9337.2,,0.811,,5553.14,6697.39,,5197.65,6474.92,5460.26,,,5684.36,6712.04,2.408,12065.56,3.835,11828.91,4116.17,1.335,,,5.384,0.933,7047.14
2020-02-27,9381.61,,0.814,,5571.91,6708.43,,5212.79,6486.57,5474.61,,,5697.18,6720.58,2.418,12117.22,3.843,11866.85,4130.87,1.34,,,5.399,0.931,7060.68
2020-02-28,9132.45,,0.768,,5396.1,6319.7,,5027.97,6145.61,5256.66,,,5440.5,6512.1,2.285,11829.69,3.663,11465.68,4001.79,1.3,,,5.173,0.89,6879.29
2020-03-02,9301.7,,0.791,,5564.62,6580.68,,5193.38,6376.87,5435.84,,,5637.35,6768.94,2.353,12255.25,3.796,11836.74,4124.98,1.34,,,5.365,0.925,7108.75
2020-03-03,9320.61,,0.81,,5585.77,6669.46,,5221.06,6437.3,5470.5,,,5687.5,6767.69,2.397,12233.42,3.82,11907.66,4144.22,1.353,,,5.405,0.931,7102.88
2020-03-04,9338.74,,0.806,,5628.81,6702.44,,5251.3,6444.61,5495.74,,,5717.38,6854.89,2.392,12403.42,3.806,11998.26,4181.27,1.363,,,5.406,0.936,7163.3
2020-03-05,9583.29,,0.816,,5771.16,6798.57,,5368.28,6540.0,5607.81,,,5827.43,6939.87,2.43,12555.04,3.853,12254.07,4281.29,1.387,,,5.559,0.946,7304.26
2020-03-06,9434.72,,0.811,,5666.58,6778.02,,5281.23,6497.99,5530.64,,,5768.94,6857.53,2.418,12364.38,3.824,12041.25,4205.77,1.37,,,5.471,0.937,7162.65
2020-03-09,9195.3,,0.773,,5489.36,6512.01,,5100.82,6229.63,5331.74,,,5561.56,6645.04,2.306,12054.03,3.659,11648.27,4069.58,1.33,,,5.27,0.903,6960.45
2020-03-10,9296.74,,0.799,,5598.06,6680.78,,5210.05,6397.94,5453.42,,,5688.86,6763.45,2.363,12188.69,3.768,11887.65,4148.15,1.354,,,5.404,0.922,7068.84
2020-03-11,9215.13,,0.779,,5525.07,6590.9,,5140.75,6301.46,5378.44,,,5614.94,6704.34,2.319,12060.64,3.69,11742.42,4097.29,1.339,,,5.304,0.908,6985.64
2020-03-12,9165.37,,0.76,,5428.34,6458.21,,5041.83,6193.63,5277.83,,,5506.19,6584.28,2.258,11890.27,3.607,11557.77,4031.5,1.315,,,5.182,0.893,6890.33
2020-03-13,9075.92,,0.757,,5341.15,6399.89,,4970.88,6152.27,5213.4,,,5442.39,6480.98,2.236,11702.11,3.572,11407.58,3970.2,1.301,,,5.113,0.88,6784.16
2020-03-16,8810.7,,0.708,,5129.74,6090.21,,4757.17,5862.44,4983.82,,,5203.06,6279.92,2.099,11405.71,3.378,10967.31,3821.61,1.265,,,4.825,0.85,6563.09
2020-03-17,8791.88,,0.712,,5089.77,6074.22,,4734.0,5875.91,4968.57,,,5187.15,6257.11,2.11,11375.03,3.353,10944.69,3809.65,1.257,,,4.796,0.837,6536.47
2020-03-18,8588.12,,0.699,,4980.36,5980.78,,4640.3,5771.53,4872.79,,,5093.74,6166.53,2.083,11184.8,3.325,10709.78,3724.76,1.237,,,4.716,0.829,6390.73
2020-03-19,8345.64,,0.702,,4880.38,6046.96,,4580.11,5814.77,4834.94,,,5080.28,6104.29,2.091,10988.03,3.347,10545.03,3645.38,1.224,,,4.672,0.821,6227.36
2020-03-20,8531.78,,0.711,,4984.47,6104.31,,4661.95,5884.05,4913.9,,,5154.81,6189.14,2.116,11179.85,3.378,10743.4,3728.54,1.243,,,4.748,0.828,6349.84
2020-03-23,8338.04,,0.677,,4841.14,5830.99,,4505.09,5635.61,4737.74,,,4959.05,6010.26,2.017,10864.03,3.207,10432.23,3630.95,1.211,,,4.545,0.806,6163.31
2020-03-24,8554.01,,0.691,,4985.98,5939.38,,4626.08,5745.11,4855.99,,,5073.51,6158.75,2.069,11147.97,3.262,10716.63,3744.1,1.231,,,4.661,0.809,6337.07
2020-03-25,8699.14,,0.719,,5111.01,6078.64,,4750.38,5881.96,4982.71,,,5203.88,6286.47,2.131,11404.84,3.374,10958.36,3830.35,1.256,,,4.836,0.831,6491.78
2020-03-26,8752.22,,0.718,,5079.77,6023.54,,4719.15,5824.11,4945.84,,,5162.72,6224.83,2.123,11319.78,3.342,10905.42,3814.88,1.251,,,4.799,0.822,6456.91
2020-03-27,8780.77,,0.708,,5106.96,5978.52,,4734.48,5791.67,4950.89,,,5155.77,6270.43,2.096,11387.99,3.325,10956.57,3832.14,1.258,,,4.788,0.821,6497.83
2020-03-30,8749.98,,0.692,,5072.34,5829.74,,4688.6,5667.83,4888.38,,,5074.72,6189.73,2.052,11313.15,3.255,10891.8,3815.96,1.249,,,4.714,0.807,6467.7
2020-03-31,8653.25,,0.69,,5090.82,5842.36,,4703.97,5683.57,4903.8,,,5088.55,6179.02,2.056,11269.63,3.299,10900.15,3815.02,1.243,,,4.757,0.807,6423.64
2020-04-01,8648.25,,0.691,,5075.7,5816.71,,4689.83,5658.51,4887.35,,,5068.63,6141.43,2.053,11221.78,3.301,10848.36,3804.67,1.24,,,4.76,0.806,6412.53
2020-04-02,8704.62,,0.712,,5145.53,5962.36,,4765.78,5802.79,4977.79,,,5170.35,6230.94,2.113,11330.42,3.396,11010.8,3858.3,1.254,,,4.841,0.824,6469.96
2020-04-03,8647.18,,0.706,,5118.04,5928.46,,4738.58,5757.51,4946.77,,,5140.07,6198.05,2.101,11290.46,3.367,10951.81,3842.61,1.254,,,4.803,0.818,6424.88
2020-04-07,8747.89,,0.73,,5218.22,6130.9,,4846.8,5937.93,5070.25,,,5282.38,6312.6,2.17,11465.15,3.474,11169.86,3911.52,1.272,,,4.94,0.845,6522.07
2020-04-08,8697.62,,0.728,,5188.05,6155.66,,4824.24,5943.26,5053.73,,,5276.06,6307.28,2.165,11438.8,3.455,11125.56,3892.34,1.273,,,4.916,0.843,6487.43
2020-04-09,8696.02,,0.737,,5199.62,6232.24,,4840.15,6000.37,5078.45,,,5310.75,6324.65,2.201,11456.17,3.468,11157.96,3904.69,1.276,,,4.933,0.847,6487.07
2020-04-10,8693.47,,0.722,,5196.77,6068.9,,4809.99,5871.91,5027.25,,,5230.44,6258.73,2.15,11401.22,3.401,11099.32,3900.8,1.269,,,4.906,0.834,6484.17
2020-04-13,8630.45,,0.715,,5186.27,6005.74,,4789.67,5827.56,5001.82,,,5195.83,6242.41,2.123,11411.67,3.358,11044.54,3885.65,1.262,,,4.884,0.829,6476.62
2020-04-14,8731.29,,0.739,,5271.67,6127.54,,4882.12,5962.19,5103.12,,,5301.62,6321.94,2.187,11515.34,3.453,11241.03,3951.69,1.278,,,4.975,0.848,6557.5
